,value
2025-01-02,24300.0
2025-01-03,24074.665524168242
2025-01-06,24060.914805227374
2025-01-07,24015.256777472867
2025-01-08,24270.787557148196
2025-01-09,24001.396379483034
2025-01-10,24188.757826279078
2025-01-13,24209.749768663456
2025-01-14,24335.32276049833
2025-01-15,24189.19869875898
2025-01-16,24289.307410072342
2025-01-17,24267.758736461903
2025-01-20,24129.642956989584
2025-01-21,23942.086074628234
2025-01-22,23832.31272405713
2025-01-23,23639.605217202377
2025-01-24,23570.050750272916
2025-01-27,23502.76689896427
2025-01-28,23422.870673010606
2025-01-29,23405.30018661293
2025-01-30,23753.421646903545
2025-01-31,23495.68186992633
2025-02-03,23915.88489583134
2025-02-04,23399.097814937828
2025-02-05,23329.66852385302
2025-02-06,23409.04327019669
2025-02-07,23384.230410424156
2025-02-10,23345.753801309897
2025-02-11,23337.25507726741
2025-02-12,23192.26167872388
2025-02-13,23066.543639343487
2025-02-14,23444.792980729402
2025-02-17,23497.32880867708
2025-02-18,23300.280372746667
2025-02-19,23545.617449016652
2025-02-20,23500.29878104005
2025-02-21,23768.975549346338
2025-02-24,23715.679958395292
2025-02-25,23459.414542393602
2025-02-26,23452.3873257618
2025-02-27,23780.844382223422
2025-02-28,23874.66492104173
2025-03-03,23774.51343720319
2025-03-04,23723.404035741903
2025-03-05,23650.273263125957
2025-03-06,23436.539370139664
2025-03-07,23450.60792026524
2025-03-10,23579.221732186394
2025-03-11,23607.654595387423
2025-03-12,23606.88139317403
2025-03-13,23888.300493371364
2025-03-14,23874.762852141663
2025-03-17,24088.62487596564
2025-03-18,24194.376263435457
2025-03-19,24385.27520733802
2025-03-20,24519.112327821844
2025-03-21,24465.029456407476
2025-03-24,24423.395318588315
2025-03-25,24524.165221081177
2025-03-26,24861.32490893624
2025-03-27,24695.698585106657
2025-03-28,25173.380898999476
2025-03-31,24836.602555496676
2025-04-01,24446.294021397494
2025-04-02,24763.05654211067
2025-04-03,25015.860555741878
2025-04-04,25115.846118480054
2025-04-07,25392.08747584559
2025-04-08,25526.26929151109
2025-04-09,25291.316341226568
2025-04-10,25369.80118545485
2025-04-11,25438.111867829743
2025-04-14,25596.589823018356
2025-04-15,25758.787365661057
2025-04-16,25300.84785087943
2025-04-17,25305.632491197754
2025-04-18,25502.69854199994
2025-04-21,25422.15211491861
2025-04-22,25308.509501505076
2025-04-23,25175.01417944124
2025-04-24,25241.732333822147
2025-04-25,25298.824681114707
2025-04-28,25397.250542095157
2025-04-29,25434.080540162104
2025-04-30,25018.604886361965
2025-05-01,24754.455818053764
2025-05-02,24717.883460246485
2025-05-05,24703.776630628356
2025-05-06,24724.077412411127
2025-05-07,25086.707540517924
2025-05-08,25343.106423842353
2025-05-09,25462.048969107334
2025-05-12,25399.14345528656
2025-05-13,25285.245168195972
2025-05-14,25390.26263445039
2025-05-15,25174.44550783321
2025-05-16,25227.37588975632
2025-05-19,25199.86042887323
2025-05-20,25423.016700097825
2025-05-21,25831.524942269665
2025-05-22,25770.739274634274
2025-05-23,25774.797605414744
2025-05-26,25865.35395042693
2025-05-27,25773.14375356867
2025-05-28,25860.697329580973
2025-05-29,26003.41692304488
2025-05-30,26227.51523121295
2025-06-02,26257.10133705165
2025-06-03,26378.738469074942
2025-06-04,26497.75547082694
2025-06-05,26509.637165695567
2025-06-06,26641.387558388833
2025-06-09,27180.664883109435
2025-06-10,27284.858980723235
2025-06-11,27417.408497251457
2025-06-12,27432.64598578873
2025-06-13,27870.38648596844
2025-06-16,27735.921236005808
2025-06-17,27720.14293606334
2025-06-18,27648.78417271319
2025-06-19,27257.93096153289
2025-06-20,27102.508583858784
2025-06-23,27068.606529305063
2025-06-24,27073.34436525812
