,AAPL,MSFT,GOOGL,TSLA
2025-01-02,8500.0,10500.0,2800.0,2500.0
2025-01-03,8486.64616194404,10343.93965632577,2725.6031410616692,2518.476564836762
2025-01-06,8573.389679288677,10309.983887195149,2660.4413643139033,2517.099874429645
2025-01-07,8773.614525879648,10122.259973888195,2663.713836060478,2455.668441644544
2025-01-08,8747.288403781968,10375.29489808453,2675.454252047598,2472.750003234099
2025-01-09,8721.069013653601,10158.06219292485,2640.5392379004593,2481.725935004125
2025-01-10,8932.168948914563,10096.269493596046,2667.199271629697,2493.12011213877
2025-01-13,9039.640753555124,10121.324213059654,2602.1134009352845,2446.6714011133918
2025-01-14,8980.71388629939,10345.435607182684,2600.8961348637627,2408.2771321524924
2025-01-15,9058.529287791931,10128.061353567613,2555.019135284516,2447.588922114924
2025-01-16,9000.355250291697,10310.130512032967,2531.389566751668,2447.432080996007
2025-01-17,8942.268990736131,10317.199839883006,2534.536469460124,2473.7534363826408
2025-01-20,8979.509347416191,10170.824228643418,2503.1814564112815,2476.1279245186915
2025-01-21,8726.635750698006,10246.79595098442,2490.0890377487735,2478.565335197033
2025-01-22,8505.565448946054,10282.934780095515,2529.0224229635423,2514.790072052018
2025-01-23,8438.452780267617,10195.947507087929,2508.513298304071,2496.691631542764
2025-01-24,8314.86597824165,10212.19808571052,2541.3301148382025,2501.6565714825415
2025-01-27,8358.630698895528,10158.788460611177,2499.662765813932,2485.684973643636
2025-01-28,8249.40248928266,10181.700649114098,2520.9091696761334,2470.8583649377183
2025-01-29,8079.225686261364,10288.48154314771,2576.8206649535045,2460.7722922503485
2025-01-30,8261.357500523263,10538.993178981831,2482.7250368537725,2470.345930544682
2025-01-31,8238.017308138216,10349.230040589324,2454.441810491643,2453.9927107071444
2025-02-03,8251.010865007554,10686.199366973173,2477.072810376317,2501.6018534742925
2025-02-04,8079.357217581198,10379.355327245687,2470.9336043240255,2469.4516657869153
2025-02-05,8017.990080451071,10361.642100928737,2486.0986677781916,2463.937674695022
2025-02-06,8035.925983517343,10459.019536364656,2464.9999957869504,2449.097754527739
2025-02-07,7901.81553773399,10509.127877085888,2469.621600159836,2503.6653954444428
2025-02-10,7950.920883836559,10417.05189416396,2465.284474460016,2512.4965488493635
2025-02-11,7883.913007664127,10390.593198421735,2509.9027307742513,2552.8461404072996
2025-02-12,7854.0283368558075,10319.831218258514,2520.9491397116008,2497.452983897957
2025-02-13,7787.757170484815,10234.664448241265,2535.196995487721,2508.9250251296885
2025-02-14,8008.7335333949995,10371.140613827753,2521.031614327394,2543.887219179259
