,AAPL,MSFT,GOOGL,TSLA
2025-01-02,170.0,350.0,140.0,250.0
2025-01-03,169.7329232388808,344.7979885441924,136.28015705308346,251.8476564836762
2025-01-06,171.46779358577353,343.66612957317165,133.02206821569516,251.70998744296446
2025-01-07,175.47229051759294,337.40866579627317,133.1856918030239,245.5668441644544
2025-01-08,174.94576807563934,345.84316326948436,133.7727126023799,247.2750003234099
2025-01-09,174.42138027307203,338.602073097495,132.02696189502296,248.1725935004125
2025-01-10,178.64337897829125,336.5423164532015,133.35996358148483,249.31201121387699
2025-01-13,180.7928150711025,337.37747376865514,130.10567004676423,244.66714011133917
2025-01-14,179.61427772598782,344.84785357275615,130.04480674318813,240.82771321524925
2025-01-15,181.17058575583863,337.60204511892044,127.7509567642258,244.7588922114924
2025-01-16,180.00710500583395,343.67101706776555,126.5694783375834,244.74320809960068
2025-01-17,178.8453798147226,343.9066613294335,126.72682347300619,247.37534363826407
2025-01-20,179.59018694832383,339.0274742881139,125.15907282056408,247.61279245186915
2025-01-21,174.53271501396011,341.559865032814,124.50445188743868,247.8565335197033
2025-01-22,170.11130897892107,342.7644926698505,126.45112114817711,251.47900720520178
2025-01-23,168.76905560535235,339.864916902931,125.42566491520355,249.6691631542764
2025-01-24,166.29731956483303,340.4066028570174,127.06650574191013,250.16565714825416
2025-01-27,167.17261397791054,338.62628202037257,124.9831382906966,248.56849736436362
2025-01-28,164.9880497856532,339.3900216371366,126.04545848380667,247.08583649377184
2025-01-29,161.58451372522728,342.94938477159036,128.84103324767523,246.07722922503487
2025-01-30,165.22715001046527,351.2997726327277,124.13625184268864,247.0345930544682
2025-01-31,164.76034616276434,344.9743346863108,122.72209052458214,245.39927107071443
2025-02-03,165.0202173001511,356.2066455657724,123.85364051881587,250.16018534742926
2025-02-04,161.58714435162395,345.97851090818955,123.54668021620128,246.94516657869153
2025-02-05,160.35980160902142,345.3880700309579,124.30493338890957,246.39376746950222
2025-02-06,160.71851967034686,348.63398454548854,123.24999978934753,244.90977545277394
2025-02-07,158.0363107546798,350.3042625695296,123.48108000799179,250.3665395444443
2025-02-10,159.0184176767312,347.2350631387987,123.2642237230008,251.24965488493638
2025-02-11,157.67826015328254,346.3531066140578,125.49513653871256,255.28461404072996
2025-02-12,157.08056673711616,343.99437394195047,126.04745698558004,249.74529838979572
2025-02-13,155.7551434096963,341.1554816080422,126.75984977438604,250.89250251296886
2025-02-14,160.1746706679,345.70468712759174,126.0515807163697,254.38872191792586
2025-02-17,160.23732034902503,347.76122352619,125.20445088158591,254.8537067808412
2025-02-18,157.79063310051183,344.3541625486995,124.46676426262971,259.07885560074976
2025-02-19,159.83206757085236,349.20729710686066,125.27781751802387,257.2238806907734
2025-02-20,157.00139552187068,351.0273162777168,124.56218037635976,262.8165909087815
2025-02-21,157.58830517087398,355.51984202718023,125.17900154629176,272.03849990613946
2025-02-24,153.05183643565096,359.09375794182864,129.15208636610598,270.7233671035762
2025-02-25,150.09615288116888,354.8479106230134,130.91863001247722,269.079697939521
2025-02-26,150.63154340335657,352.0841242671888,130.3587842619943,275.11107423384215
2025-02-27,152.39302694734417,356.24800981656017,132.78804610686774,281.79918182220547
2025-02-28,152.87922757569166,359.7305010428214,132.0575503832928,279.76375033066495
2025-03-03,152.70924347222874,359.8417712389553,128.10255501892732,278.17470260445464
2025-03-04,152.11508366959742,360.7002366988361,126.2456405160691,277.172994097557
2025-03-05,148.83713428044354,367.8398153658692,122.78231987575302,271.7575690612639
2025-03-06,147.32404859945103,364.80809533277,122.21247624110707,268.1844555361869
2025-03-07,146.3995838248463,368.03336335570793,122.32378907747614,264.31520468021654
2025-03-10,148.81434196329812,367.1517664064282,125.47778843904227,261.4395873047799
2025-03-11,149.67667080026487,366.1880553520491,126.17347474421105,261.4709899928486
2025-03-12,145.81466996954427,372.4590131106003,125.83997360064453,262.55780293659143
2025-03-13,146.61774380579033,377.31121640401716,127.48688173377245,268.83391762858855
2025-03-14,145.86602405540646,382.1603471853281,123.34128019601326,264.9825629891235
2025-03-17,144.48004255350122,389.89308241846123,123.85762443597106,269.0677787017321
2025-03-18,145.9003038941257,390.27130568013416,125.37091558600073,268.38035866051325
2025-03-19,148.25264415479944,394.5202794864054,122.6728259911126,268.35780951836364
2025-03-20,150.4215896538013,392.94490465780166,124.85850879391187,271.25155295194935
2025-03-21,148.62789085913363,395.11642864946583,125.5753504480852,266.8635045005117
2025-03-24,148.03761889143482,394.608532053299,124.8768239776503,268.57219328646005
2025-03-25,148.8723418485863,395.4469073801973,126.14574275080702,269.4226052229806
2025-03-26,151.15094275015352,399.2431642409727,130.52715689198885,271.5939706359609
2025-03-27,150.16662834408592,394.61281170129416,130.9714032775254,272.9554751313029
2025-03-28,149.85030607657615,407.2657631810336,131.54790250239802,283.1934649691698
2025-03-31,147.46563470819368,401.39750075243404,130.73111115402912,280.67735744333885
2025-04-01,144.92054886229064,394.3615764919093,129.15404861452467,278.63383112351914
2025-04-02,146.78641123241349,401.4832918109445,130.85141966574946,276.22088328466685
2025-04-03,149.87387388213136,406.5279490121203,129.26142458416012,274.1099899588499
2025-04-04,149.8158549224927,410.61551863707507,129.48976835653016,271.6792446112567
2025-04-07,152.17529755095734,414.7714160500063,128.65211151478854,276.7137886501766
2025-04-08,153.1071312866749,414.9850984668635,129.66635074521017,282.8032758267237
2025-04-09,151.73299649421492,409.6911302130208,130.40632277539692,280.58061546172564
2025-04-10,152.66246220079154,410.4456995875355,132.52775084823747,277.27520708244543
2025-04-11,156.2925015965039,406.56708266789013,131.60766514339278,279.4321005099983
2025-04-14,156.31957007387058,412.8027555886938,131.16841899431915,277.3160271777629
2025-04-15,160.0998714537402,412.18670764436564,129.33626517349913,280.1467260173097
2025-04-16,153.9232591846077,407.37812649635015,128.5669772488414,281.200155178171
2025-04-17,155.93163348323924,405.7072929532212,129.3870884301611,275.0090259835935
2025-04-18,156.24786076840212,408.5132670450686,130.94971052541985,281.5913281719379
2025-04-21,155.6603836877152,405.3551887165196,129.23331673706235,289.38109342960104
2025-04-22,155.98797748077737,400.65097052091346,131.01314627872048,286.9318586264394
2025-04-23,151.45146043840452,402.4083711653485,133.77301980505518,285.47296264594553
2025-04-24,151.06357831279027,404.182379724851,134.7008030187579,286.90659660619457
2025-04-25,151.9840982793569,401.4067610333897,138.59215318553143,288.55738724345406
2025-04-28,155.46578645854905,398.8675640654857,137.08607103839861,291.62128764351615
2025-04-29,154.37265997791732,400.5521824195013,134.6285199117853,300.631167044549
2025-04-30,152.6156327595698,392.1503654953987,131.13691241308962,300.05740352597195
2025-05-01,151.58124181580922,384.164869102367,134.17788143362847,296.68900255197207
2025-05-02,153.77652623701417,380.3135643740148,135.5957408544369,290.7735400086595
2025-05-05,154.65085644181633,379.3828403494384,135.5849857884222,287.80488822859434
2025-05-06,153.5390675091959,381.4394713718842,136.25706796269444,287.87985365409185
2025-05-07,154.83790267954404,390.1708671567577,134.0603269769053,295.8479852299883
2025-05-08,155.18154843512224,395.4881631452314,139.08082011158635,293.77677054975726
2025-05-09,157.55517851777995,394.84236022585947,139.4569599672166,294.9880037098222
2025-05-12,156.01716901983988,395.0333982023782,139.7930510422448,295.1422037378329
2025-05-13,155.37080068574508,389.397875814711,141.42282843439324,300.63122907795247
2025-05-14,154.57736921655393,389.59149577404366,142.55280597320507,312.25931809372844
2025-05-15,151.3042130043971,388.2076556046999,143.14242023922407,310.0156784687874
2025-05-16,152.09441133068927,390.38998592244536,141.55692595403997,307.9817226467699
2025-05-19,152.8091834992171,385.85179456015106,142.66895834178615,313.0468250272118
2025-05-20,152.9411077908735,389.16117704801866,146.8087824477278,316.49503501590345
